time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-30 05-59-00,74.40000153,61,75.06000214,199.8666667,68.06315765,73.20000458
2021-07-30 06-14-00,73.20000458,61,73.03333537,324.1333333,76.78596497,73.59999847
2021-07-30 06-29-00,73.59999847,60.46666667,73.98000132,253.2666667,46.08421046,71.80000305
2021-07-30 06-44-00,71.80000305,60,67.50000102,318.3333333,39.64210485,71.09999847
2021-07-30 06-59-00,71.09999847,60,64.23333435,278.0666667,35.36841965,70.70000458
2021-07-30 07-14-00,70.70000458,60.8,63.86000036,281.2666667,35.36841965,70.40000153
2021-07-30 07-29-00,70.40000153,61.46666667,63.64000092,273.7333333,35.36841965,70.5
2021-07-30 07-44-00,70.5,62.53333333,65.20666758,247.7333333,37.93684133,71
2021-07-30 07-59-00,71,63.6,67.75333557,265.2666667,48,74.30000305
2021-07-30 08-14-00,74.30000305,64.66666667,80.24000193,270.7333333,48,74.09999847
2021-07-30 08-29-00,74.09999847,65.66666667,74.99333445,253.6666667,50.31578979,72.80000305
2021-07-30 08-44-00,72.80000305,66.53333333,71.71333466,189.4,72.64561386,72
2021-07-30 08-59-00,72,67.13333333,69.22000224,329.4,73.77543869,71.59999847
2021-07-30 09-14-00,71.59999847,68,67.26666921,290.2,38.21052653,71.40000153
2021-07-30 09-29-00,71.40000153,68.93333333,66.27333527,288.7333333,37.41052577,71.30000305
2021-07-30 09-44-00,71.30000305,69.73333333,65.94666748,263.3333333,36.56842168,71.09999847
2021-07-30 09-59-00,71.09999847,70.06666667,65.92666779,291.8,38.04210561,71.30000305
2021-07-30 10-14-00,71.30000305,71,65.83333588,271.7333333,36.31578979,71
2021-07-30 10-29-00,71,71.86666667,65.87333527,271.2666667,38.33684082,71.5
2021-07-30 10-44-00,71.5,72.46666667,68.60000254,148.4666667,69.32631658,71.59999847
2021-07-30 10-59-00,71.59999847,73.06666667,69.00000102,302.0666667,89.64210561,75.59999847
2021-07-30 11-14-00,75.59999847,74,88.43333537,329.1333333,51.19999949,73.70000458
2021-07-30 11-29-00,73.70000458,73.33333333,71.74000193,213.1333333,58.23157883,73.09999847
2021-07-30 11-44-00,73.09999847,72.6,72.02666779,160.7333333,95.74736837,72.09999847
2021-07-30 11-59-00,72.09999847,69,67.26000163,341.4666667,46.89122721,73.90000153
2021-07-30 12-14-00,73.90000153,66.66666667,73.99333445,133.8666667,79.33333384,73.70000458
2021-07-30 12-29-00,73.70000458,65.2,73.26666768,318.8666667,81.40350876,72.90000153
2021-07-30 12-44-00,72.90000153,64,71.49333445,171.2,80.52631556,71.90000153
2021-07-30 12-59-00,71.90000153,62.66666667,67.81333466,308.5333333,85.53684184,72.20000458
2021-07-30 13-14-00,72.20000458,62,69.43333486,175.8,81.43157908,72.30000305
2021-07-30 13-29-00,72.30000305,62,70.64000092,312.4666667,83.42456156,72.30000305
2021-07-30 13-44-00,72.30000305,62,71.20000153,159.8,81.2561409,71.90000153
2021-07-30 13-59-00,71.90000153,62,68.56000214,341.6,75.57192968,75.59999847
2021-07-30 14-14-00,75.59999847,62.66666667,89.28666789,238.4666667,57.1368426,73.80000305
2021-07-30 14-29-00,73.80000305,63,72.48000132,233.2666667,90.1964915,72.20000458
2021-07-30 14-44-00,72.20000458,63.93333333,68.71333516,347.6666667,40.43508733,71.80000305
2021-07-30 14-59-00,71.80000305,64,65.44000091,258.8666667,34.75789413,71.20000458
2021-07-30 15-14-00,71.20000458,63.6,64.22666804,289.5333333,36.14736811,71.09999847
2021-07-30 15-29-00,71.09999847,63,63.9333341,269.6666667,36.23157755,71.09999847
2021-07-30 15-44-00,71.09999847,63.8,67.20000153,224.4666667,60.7368426,72.20000458
2021-07-30 15-59-00,72.20000458,64,70.12666779,301.7333333,46.09122747,71.59999847
2021-07-30 16-14-00,71.59999847,64.4,69.00666809,292.5333333,49.37543869,71.09999847
2021-07-30 16-29-00,71.09999847,65.4,66.13333384,261.4666667,38.65263214,71.09999847
