time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-08-01 14-44-00,72.20000458,79.93333333,68.56000214,325.0,43.95087738,71.90000153
2021-08-01 14-59-00,71.90000153,81.13333333,66.50666911,291.5333333,35.09473674,71.70000458
2021-08-01 17-44-00,71.0,73.4,66.46666819,311.2,43.63508682,71.0
2021-08-01 17-59-00,71.0,73.6,65.75333506,294.4666667,40.31578827,71.59999847
2021-08-01 18-29-00,73.0,71.66666667,72.88000132,304.4,84.2035085,73.40000153
2021-08-01 18-59-00,73.90000153,70.0,75.1866684,304.0,44.81403529,72.20000458
2021-08-01 19-14-00,72.20000458,70.0,69.14666748,306.7333333,39.83157883,71.70000458
2021-08-01 19-59-00,73.30000305,69.0,73.10000204,319.9333333,77.23508784,74.5
2021-08-01 20-29-00,73.80000305,68.86666667,73.86000163,287.6666667,84.91929804,72.90000153
2021-08-01 21-14-00,71.70000458,68.0,65.7266688,305.4666667,41.50877151,71.30000305
2021-08-01 21-29-00,71.30000305,68.0,64.59333496,284.0,38.63157908,71.09999847
2021-08-01 21-44-00,71.09999847,68.0,64.35333557,290.9333333,37.57894897,70.90000153
2021-08-01 22-14-00,70.70000458,67.0,64.16666972,292.5333333,38.21052704,70.5
2021-08-01 22-29-00,70.5,66.0,64.22667084,284.5333333,34.50526174,71.90000153
2021-08-01 22-59-00,72.90000153,66.0,73.82000122,304.8666667,47.72631531,73.90000153
2021-08-01 23-44-00,73.5,65.0,73.58000183,288.1333333,48.23157857,73.59999847
2021-08-02 00-59-00,71.59999847,63.0,67.01333567,287.6,70.14736862,70.90000153
2021-08-02 01-14-00,70.90000153,63.0,63.5600001,280.4666667,35.19999949,70.70000458
2021-08-02 01-59-00,72.80000305,62.66666667,72.7466685,285.8666667,53.17894669,73.90000153
2021-08-02 02-44-00,71.70000458,62.0,68.89333445,343.6666667,72.55438538,71.30000305
2021-08-02 02-59-00,71.30000305,62.0,67.30666962,284.9333333,46.0,70.70000458
2021-08-02 03-14-00,70.70000458,62.0,65.14666824,306.4666667,37.61403529,70.30000305
2021-08-02 04-14-00,71.09999847,61.0,68.19333496,318.6,51.70526301,70.90000153
2021-08-02 04-44-00,70.70000458,61.0,67.34666748,282.7333333,83.85263189,71.09999847
2021-08-02 04-59-00,71.09999847,61.0,68.4466685,286.0,46.54736837,74.09999847
2021-08-02 05-29-00,74.0,60.53333333,79.4266688,296.2666667,52.00000051,72.70000458
2021-08-02 05-59-00,72.59999847,60.0,71.13333384,305.8,51.57894821,71.5
2021-08-02 06-14-00,71.5,60.0,67.80000203,289.1333333,48.54736862,70.70000458
2021-08-02 06-44-00,70.30000305,60.0,63.52000097,300.5333333,41.13684209,70.20000458
2021-08-02 07-44-00,70.90000153,63.33333333,68.4066686,321.4666667,62.20350825,70.5
2021-08-02 07-59-00,70.5,64.6,66.02666829,282.5333333,35.68421173,70.90000153
2021-08-02 08-44-00,72.5,68.46666667,72.60666911,299.4,57.67017517,73.09999847
2021-08-02 09-14-00,72.0,71.53333333,69.92666931,337.8,83.15789439,71.80000305
